neighborhood,community,year,median_value,city_median_value,yoy_growth,housing_stock,property_count,lat,lon,cumulative_growth_pct,city_cumulative_growth_pct,vs_city_avg
Linden Hills,Southwest,2016,485000,275000,0.06248357076505616,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,0.0,0.0,0.0
Linden Hills,Southwest,2017,515305,288636,0.07323844269050347,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,6.2,5.0,1.2
Linden Hills,Southwest,2018,553045,307273,0.07882923312638332,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,14.0,11.7,2.3
Linden Hills,Southwest,2019,596641,331639,0.09789606407753695,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,23.0,20.6,2.4
Linden Hills,Southwest,2020,655049,362250,0.04765262807032524,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,35.1,31.7,3.4
Linden Hills,Southwest,2021,686264,377330,-0.02231708846406231,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,41.5,37.2,4.3
Linden Hills,Southwest,2022,670949,373029,0.10120981135783018,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,38.3,35.6,2.7
Linden Hills,Southwest,2023,738856,408191,0.07137541083743484,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,52.3,48.4,3.9
Linden Hills,Southwest,2024,791592,440158,0.05493584439832788,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,63.2,60.1,3.1
Linden Hills,Southwest,2025,835078,462580,0.03545987962239395,1920s–1940s Craftsman bungalows & Tudor revivals,3200,44.9122,-93.3232,72.2,68.2,4.0
Fulton,Southwest,2016,390000,275000,0.057328243844607774,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,0.0,0.0,0.0
Fulton,Southwest,2017,412358,288564,0.060337641023439616,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,5.7,4.9,0.8
Fulton,Southwest,2018,437239,304644,0.06727808637737409,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,12.1,10.8,1.3
Fulton,Southwest,2019,466655,329117,0.07424503211288849,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,19.7,19.7,0.0
Fulton,Southwest,2020,501302,359109,0.03699680655040598,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,28.5,30.6,-2.1
Fulton,Southwest,2021,519849,373159,-0.013008533061146984,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,33.3,35.7,-2.4
Fulton,Southwest,2022,513086,371501,0.08993251387631032,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,31.6,35.1,-3.5
Fulton,Southwest,2023,559229,407472,0.07411272456051596,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,43.4,48.2,-4.8
Fulton,Southwest,2024,600675,438577,0.05104431797502378,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,54.0,59.5,-5.5
Fulton,Southwest,2025,631336,457928,0.03335906975550785,1940s–1960s ramblers & split-levels,4100,44.9205,-93.308,61.9,66.5,-4.6
Armatage,Southwest,2016,320000,275000,0.053692332899977054,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,0.0,0.0,0.0
Armatage,Southwest,2017,337182,288891,0.059421758588058794,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,5.4,5.1,0.3
Armatage,Southwest,2018,357217,305964,0.07260739004816287,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,11.6,11.3,0.3
Armatage,Southwest,2019,383154,329780,0.08769680614520106,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,19.7,19.9,-0.2
